name,date,time,time_since_start,vicon_sequence,vicon_time_stamp,vicon_frame_id,vicon_child_frame_id,vicon_translation_x,vicon_translation_y,vicon_translation_z,vicon_rotation_x,vicon_rotation_y,vicon_rotation_z,vicon_rotation_w,int_imu_time_stamp,int_imu_acc_x,int_imu_acc_y,int_imu_acc_z,int_imu_gyro_x,int_imu_gyro_y,int_imu_gyro_z,int_imu_mag_x,int_imu_mag_y,int_imu_mag_z,ext_imu_time_stamp,ext_imu_acc_x,ext_imu_acc_y,ext_imu_acc_z,ext_imu_gyro_x,ext_imu_gyro_y,ext_imu_gyro_z,ext_imu_mag_x,ext_imu_mag_y,ext_imu_mag_z,dji_imu_sequence,dji_imu_time_stamp,dji_imu_frame_id,dji_imu_orientation_x,dji_imu_orientation_y,dji_imu_orientation_z,dji_imu_ang_vel_x,dji_imu_ang_vel_y,dji_imu_ang_vel_z,dji_imu_lin_acc_x,dji_imu_lin_acc_y,dji_imu_lin_acc_z,rc_sequence,rc_time_stamp,rc_frame_id,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_mode,rc_landing_gear
/home/wc18ny/Desktop/VibrationTest/data_formatlab.csv,20201015,90505.530145,6.866455078125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960747.0,0.04,0.01,-1.01,-1.28,-1.52,-0.24,15.15,30.31,-53.71,1960757.0,0.04,0.01,-1.02,-1.28,-1.59,-0.3,15.75,31.21,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.535175,0.005078554153442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960766.0,0.05,0.01,-1.01,-1.4,-1.52,-0.18,15.15,31.36,-54.46,1960776.0,0.04,0.0,-1.0,-1.28,-1.83,-0.18,15.9,30.01,-52.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.554619,0.0245058536529541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960785.0,0.04,0.0,-1.0,-1.34,-1.52,-0.18,15.3,32.26,-53.56,1960795.0,0.04,0.01,-1.02,-1.34,-1.71,-0.12,14.4,31.36,-53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.574278,0.044165611267089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960804.0,0.04,0.0,-1.0,-1.4,-1.71,-0.3,16.05,31.96,-53.26,1960814.0,0.03,0.0,-1.0,-1.28,-1.71,0.0,14.4,32.86,-54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.592966,0.06285405158996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960823.0,0.04,0.01,-1.01,-1.4,-1.59,-0.18,14.85,31.36,-54.16,1960832.0,0.04,0.0,-1.01,-1.4,-1.71,-0.18,14.7,32.26,-52.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.61284,0.08272504806518555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960842.0,0.04,0.01,-1.01,-1.46,-1.83,-0.12,15.15,32.11,-52.36,1960851.0,0.04,0.01,-1.02,-1.4,-1.65,-0.12,15.15,32.11,-52.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.632652,0.10253667831420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960914.0,0.04,0.0,-1.01,-1.34,-1.65,-0.18,17.1,31.21,-50.86,1960923.0,0.04,-0.0,-1.0,-1.28,-1.65,-0.24,15.75,30.46,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.656849,0.1267850399017334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960933.0,0.04,0.0,-1.01,-1.22,-1.65,-0.18,14.4,32.86,-53.41,1960942.0,0.03,0.01,-1.01,-1.28,-1.65,-0.12,14.4,31.81,-52.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.675915,0.14583230018615723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960952.0,0.04,0.0,-1.0,-1.28,-1.59,-0.18,16.05,32.56,-54.31,1960961.0,0.03,0.0,-1.0,-1.34,-1.71,-0.37,16.05,32.56,-54.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.69607,0.16598844528198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960970.0,0.03,0.01,-1.01,-1.4,-1.71,-0.18,15.9,31.06,-54.76,1960980.0,0.04,-0.0,-1.01,-1.28,-1.71,-0.18,15.0,30.91,-55.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.716407,0.1863255500793457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960989.0,0.05,-0.0,-1.01,-1.28,-1.59,-0.24,15.3,33.01,-52.51,1960999.0,0.04,0.0,-1.02,-1.28,-1.71,-0.18,15.9,31.81,-52.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.737322,0.20724129676818848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961008.0,0.04,0.0,-1.01,-1.28,-1.65,-0.18,15.75,32.26,-53.86,1961018.0,0.04,0.0,-1.01,-1.34,-1.71,-0.18,15.75,30.91,-54.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.753851,0.22374844551086426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961027.0,0.04,0.01,-1.01,-1.28,-1.71,-0.37,15.45,31.36,-53.11,1961037.0,0.04,0.0,-1.01,-1.46,-1.71,-0.24,15.45,31.81,-52.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.773148,0.24305033683776855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961100.0,0.04,0.01,-1.01,-1.34,-1.71,-0.24,15.75,32.56,-52.96,1961110.0,0.04,-0.0,-1.0,-1.4,-1.77,-0.18,16.8,31.51,-53.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.793408,0.26329779624938965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961120.0,0.04,0.01,-1.0,-1.46,-1.65,-0.24,14.4,31.81,-54.46,1961130.0,0.04,0.01,-1.01,-1.4,-1.71,-0.18,15.0,31.21,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.813146,0.2830383777618408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961140.0,0.05,0.01,-1.0,-1.34,-1.65,0.0,15.75,31.51,-54.91,1961150.0,0.04,0.02,-1.01,-1.46,-1.71,-0.24,15.15,31.81,-54.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.834767,0.30469250679016113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961160.0,0.04,0.01,-1.01,-1.34,-1.59,-0.18,13.8,32.11,-53.71,1961170.0,0.04,0.0,-1.01,-1.4,-1.83,-0.24,14.7,31.96,-51.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.856773,0.3266904354095459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961180.0,0.05,-0.0,-1.0,-1.34,-1.52,-0.18,15.75,30.91,-53.26,1961190.0,0.04,0.0,-1.01,-1.4,-1.71,-0.18,15.15,30.31,-54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.876938,0.34685420989990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961200.0,0.04,0.0,-1.0,-1.4,-1.65,-0.18,16.05,31.51,-53.56,1961210.0,0.04,0.01,-1.0,-1.4,-1.77,-0.18,15.9,31.06,-55.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.893994,0.3638904094696045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961220.0,0.04,0.01,-1.01,-1.4,-1.52,-0.24,14.4,31.81,-53.71,1961230.0,0.04,0.01,-1.02,-1.4,-1.65,-0.24,14.7,31.96,-53.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.914005,0.38390254974365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961293.0,0.04,0.01,-1.01,-1.4,-1.65,-0.24,16.8,30.46,-52.21,1961303.0,0.04,0.0,-1.02,-1.34,-1.77,-0.24,14.25,31.96,-53.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.934539,0.4044380187988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961313.0,0.03,0.01,-1.02,-1.28,-1.77,-0.3,14.4,31.06,-53.71,1961323.0,0.05,0.0,-1.01,-1.4,-1.77,-0.18,13.8,32.11,-54.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.954147,0.4240419864654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961333.0,0.04,0.01,-1.0,-1.34,-1.65,-0.24,15.3,33.31,-53.26,1961343.0,0.04,0.01,-1.02,-1.34,-1.65,-0.12,15.45,31.36,-53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.9764,0.4463160037994385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961353.0,0.04,0.0,-1.0,-1.4,-1.59,-0.3,14.7,31.96,-53.26,1961363.0,0.05,0.01,-1.03,-1.46,-1.59,-0.12,15.15,33.16,-51.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.997844,0.4678027629852295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961373.0,0.04,0.01,-1.01,-1.34,-1.77,-0.3,15.75,31.21,-53.86,1961383.0,0.04,0.01,-1.01,-1.4,-1.59,-0.18,15.0,31.21,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.015699,0.48560667037963867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961393.0,0.04,-0.0,-1.03,-1.4,-1.71,-0.24,15.0,31.21,-54.61,1961403.0,0.04,0.0,-1.02,-1.22,-1.65,-0.18,16.05,33.01,-53.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.033488,0.5033845901489258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961413.0,0.03,0.01,-1.01,-1.34,-1.71,-0.12,14.85,32.41,-53.71,1961423.0,0.04,0.0,-1.02,-1.34,-1.52,-0.3,15.75,31.96,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.054001,0.5238997936248779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961487.0,0.04,0.01,-1.0,-1.34,-1.71,-0.24,16.8,32.26,-51.61,1961497.0,0.04,0.01,-1.01,-1.4,-1.52,-0.18,16.8,31.21,-51.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.07371,0.5436055660247803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961507.0,0.04,0.01,-1.0,-1.34,-1.71,-0.37,15.0,30.91,-54.91,1961517.0,0.05,0.0,-1.0,-1.4,-1.59,-0.3,16.05,31.51,-54.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.09745,0.5673694610595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961527.0,0.04,0.01,-1.01,-1.4,-1.65,-0.24,13.95,31.51,-53.86,1961537.0,0.04,0.01,-1.01,-1.22,-1.77,-0.24,14.4,32.86,-54.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.116006,0.5859243869781494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961547.0,0.04,0.0,-0.99,-1.28,-1.52,-0.24,15.15,33.16,-53.11,1961557.0,0.04,0.02,-1.02,-1.4,-1.65,-0.24,15.15,31.06,-54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.135869,0.6057984828948975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961567.0,0.04,0.0,-1.03,-1.4,-1.71,-0.18,16.05,32.56,-53.56,1961577.0,0.04,0.01,-1.01,-1.4,-1.71,-0.24,15.3,31.51,-53.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.15359,0.6234824657440186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964461.0,0.04,0.01,-1.01,-1.34,-1.65,-0.18,15.15,32.11,-53.71,1964471.0,0.05,0.0,-1.01,-1.28,-1.65,-0.24,15.15,30.31,-54.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.227573,0.6975092887878418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964481.0,0.03,0.0,-1.02,-1.34,-1.71,-0.18,15.45,31.36,-54.16,1964544.0,0.04,0.0,-1.01,-1.4,-1.65,-0.18,16.35,32.26,-53.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.247393,0.7173128128051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964554.0,0.03,-0.0,-1.01,-1.22,-1.65,-0.3,16.8,31.51,-54.31,1964564.0,0.04,0.0,-1.0,-1.28,-1.65,-0.24,14.85,30.31,-53.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.267351,0.7372701168060303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964574.0,0.03,0.0,-1.0,-1.34,-1.59,-0.24,15.0,30.46,-53.86,1964584.0,0.03,0.0,-1.02,-1.16,-1.59,-0.18,16.95,31.06,-53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.286843,0.7567403316497803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964594.0,0.04,-0.0,-1.01,-1.4,-1.71,-0.18,15.75,31.51,-54.31,1964604.0,0.04,0.0,-1.02,-1.34,-1.83,-0.18,13.2,31.51,-53.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.306802,0.7766995429992676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964614.0,0.04,0.0,-1.0,-1.28,-1.71,-0.12,15.75,31.21,-53.56,1964624.0,0.04,0.01,-1.0,-1.4,-1.59,-0.18,16.05,31.96,-52.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.327264,0.7971806526184082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964634.0,0.03,0.0,-1.0,-1.4,-1.71,-0.18,14.7,31.96,-53.86,1964644.0,0.03,0.0,-1.01,-1.28,-1.59,-0.43,14.1,33.46,-53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.347384,0.8173208236694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964654.0,0.04,0.0,-1.01,-1.46,-1.71,-0.24,14.85,31.36,-53.11,1964664.0,0.05,0.01,-1.02,-1.4,-1.71,-0.24,13.95,31.21,-53.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.48335,0.9532744884490967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964674.0,0.04,0.01,-1.01,-1.4,-1.77,-0.24,15.45,32.41,-52.81,1964799.0,0.04,0.0,-1.02,-1.34,-1.71,-0.18,15.15,32.11,-53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.503824,0.9737503528594971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964809.0,0.04,0.01,-1.01,-1.34,-1.52,-0.12,16.2,31.36,-52.81,1964819.0,0.05,-0.0,-1.01,-1.34,-1.65,-0.24,15.45,33.16,-53.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.522879,0.9927999973297119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964829.0,0.04,-0.0,-1.01,-1.28,-1.59,-0.18,16.35,32.26,-52.96,1964839.0,0.05,0.0,-1.02,-1.34,-1.65,-0.24,15.3,32.56,-52.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90506.54315,1.013073444366455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964849.0,0.04,0.0,-1.02,-1.34,-1.59,-0.18,13.95,32.56,-53.26,1964859.0,0.04,0.0,-1.01,-1.28,-1.65,-0.12,15.45,32.11,-53.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
